136,493,673,503,671,541,136,531
72,452,736,466,734,506,72,492
535,686,777,685,777,726,536,727
388,220,504,222,503,257,388,255
599,803,777,803,777,839,599,840
72,371,717,398,711,437,72,410
0,968,777,951,777,993,0,1010
325,798,504,801,503,841,325,838
241,552,630,554,630,591,241,589
241,422,589,430,587,468,241,460
304,914,504,917,503,957,304,954
220,312,611,327,607,364,220,349
0,885,693,875,693,917,0,927
262,280,569,291,565,330,262,319
283,991,505,997,502,1038,283,1032
9,650,125,651,124,694,9,694
9,691,398,684,398,722,10,730
283,646,756,648,756,686,283,684
0,1016,146,1015,146,1062,0,1063
0,935,209,920,209,965,0,980
262,350,568,361,565,399,262,388
135,843,251,840,251,879,136,881
9,587,735,592,735,631,9,626
0,810,146,806,146,849,0,853
199,1029,335,1030,335,1067,199,1066
0,764,693,760,693,803,0,807
261,194,461,188,461,240,263,245
577,921,777,916,777,957,579,963
577,999,798,995,798,1040,578,1043
